Page ID,Page name,Disclaimer,Amount spent (USD)
6651543066,CNN Business,These ads ran without a disclaimer,≤100
1556481434584901,Paul Xavier,These ads ran without a disclaimer,≤100
10606591490,TIME,These ads ran without a disclaimer,≤100
